,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2019-04-18,,,,,294,294,294,294,294,294,358,294,294,294,,,,,,,,,,
2019-04-19,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-20,,,,,294,294,294,294,356,294,292,292,301,292,6,,,,,,,,,
2019-04-21,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-22,,,,,128,128,138,128,130,128,154,154,147,147,,6,18,18,6,6,6,19,6,17
2019-04-23,176,,,,,,,,,,,,,,,,17,2,17,17,24,19,19,19
2019-04-24,150,16,,,144,154,154,144,154,19,147,152,152,19,19,,,,,,,,,
2019-04-25,,,,,294,358,358,294,294,294,294,294,294,294,,,,,,6,,,326,326
2019-04-26,6,6,,,294,292,292,358,294,293,293,293,313,,138,18,128,128,16,152,,24,24,19
2019-04-27,16,6,6,,,,292,294,294,294,294,294,294,294,6,,,,,,,,,
2019-04-28,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-29,,,,,292,18,358,294,294,294,356,292,293,24,,19,130,146,146,146,146,130,6,154
2019-04-30,147,,,,,,,,,,,,,,,,294,6,6,6,38,38,,
2019-05-01,6,6,,,294,294,358,358,358,292,358,294,292,292,,358,326,326,294,294,294,294,262,358
2019-05-02,262,,,,,,,,,,,,,,,,2,6,146,,18,6,6,146
2019-05-03,147,138,144,,,,,,,,,,,,6,,,,,,,,,
2019-05-04,,,,,,,,294,,294,294,294,294,294,,358,262,22,19,19,18,358,6,146
2019-05-05,6,294,,,,,,,,,,,,,,,,,,,,,,
2019-05-06,,,,,294,294,294,294,54,55,309,49,51,185,146,,,,,,,,,
2019-05-07,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-08,,,,294,294,358,358,294,294,438,292,309,292,358,6,,,,,,,,,
2019-05-09,,,,,,,,,,,,,,,,,,,19,2,6,152,152,128
2019-05-10,147,6,152,,,,,,,,,,,,,2,2,6,2,6,0,0,324,324
2019-05-11,4,,,,,1,,,1,36,324,324,1,1,18,,18,17,6,24,2,1,2,2
2019-05-12,18,6,,,,304,48,25,24,0,2,2,1,,,,,,2,2,18,18,24,128
2019-05-13,6,152,6,,,,,153,144,17,19,24,24,,,128,,,144,,176,176,144,144
2019-05-14,144,128,,,,,,,,,,,,,,,,,,,,,,
2019-05-15,,,,294,,294,294,294,292,294,294,292,358,294,,6,6,6,6,326,16,16,2,6
2019-05-16,38,,,,,,,,,,,,,,,,,,130,128,128,128,152,152
2019-05-17,19,19,,6,294,6,22,128,294,265,294,144,136,136,294,,,,,,,,,
2019-05-18,,,,,,,,,,,,,,,294,,,,,,,,,
2019-05-19,,,,,292,,,294,292,293,356,292,301,294,147,,,,,,,,,
2019-05-20,,,,,144,144,16,16,0,56,48,16,24,152,154,,,,,,,,,
2019-05-21,,,,,,,,,,,,,,,,,,294,38,38,6,6,6,16
2019-05-22,294,38,38,,,,292,358,294,292,294,293,294,310,358,,,,,,,,,
2019-05-23,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-24,,,,,293,,292,292,294,358,294,294,293,294,,358,,294,294,294,,294,358,294
2019-05-25,294,,,,,,,,,,,,,,,,,,4,6,6,6,2,6
2019-05-26,6,18,,,,,,2,19,292,49,1,294,152,6,,,,,,,,,
2019-05-27,,,,,,,,294,294,294,294,294,294,294,358,,,,,,,,,
2019-05-28,,,,292,,358,294,294,294,292,292,292,294,,294,294,294,38,6,6,6,6,6,294
2019-05-29,6,22,150,,,,16,152,24,24,24,24,24,17,358,,,,,,,,,
2019-05-30,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-31,,,,294,294,358,358,358,294,294,294,294,294,294,,6,2,2,19,2,2,17,24,19
2019-06-01,0,,,,,,,,,,,,,,,,,,16,,1,,,
2019-06-02,,0,,,,,262,294,294,6,6,17,17,2,,,,17,17,0,17,2,24,1
2019-06-03,25,,,,,,,,,,,,,,,0,0,24,0,128,24,0,2,144
2019-06-04,17,24,,,,358,292,294,292,294,294,294,294,294,,128,128,1,0,4,2,0,1,17
2019-06-05,1,1,128,,,,,6,294,0,0,294,294,37,19,,,,,,,,,
2019-06-06,,,,,,,,326,294,358,294,294,1,,,,,,,,,,,
2019-06-07,,,,,,,54,54,54,294,358,294,292,326,6,,,,,,,,,
2019-06-08,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-09,,,,,260,294,294,294,358,358,358,358,358,358,,6,18,18,17,6,128,154,147,147
2019-06-10,128,,,,,,,,,,,,,,,,0,1,17,17,25,25,297,25
2019-06-11,0,0,,,,294,0,294,294,4,292,260,260,294,,6,6,6,6,1,1,4,4,6
2019-06-12,6,,,,294,,,294,294,358,294,294,294,294,4,,,,,,,,,
2019-06-13,,,,36,294,6,19,294,153,144,152,293,293,,0,2,2,144,1,1,24,24,1,24
2019-06-14,16,24,17,,,,1,6,262,38,6,22,146,294,6,,,,,,,,,
2019-06-15,,,6,,,,,,,,,,,,,,,,,,,,,
2019-06-16,,,,294,358,294,358,358,294,294,358,358,294,358,6,,,,,,,,,
2019-06-17,,,,,,,,,,,,,,,,,,,6,6,6,,6,6
2019-06-18,6,6,,,294,294,294,294,294,358,294,358,358,310,6,,,,,,,,,
2019-06-19,,,,,,,,,,,,,,,,294,294,358,262,6,6,294,294,294
2019-06-20,36,6,294,,,,,,,,,,,,294,,,,,,,,,
2019-06-21,,,,,,294,294,294,294,294,294,294,294,294,294,,,,,,,,,
2019-06-22,,,,,,294,294,294,294,294,326,293,262,,,,,,,6,6,6,6,38
2019-06-23,53,6,6,,294,,294,294,294,358,294,294,358,294,,358,326,6,6,6,22,70,358,6
