,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2019-05-27,128,,,294,,294,,294,,292,,292,,294,486,,358,,358,,358,,294,
2019-05-28,38,,292,,294,,294,,292,,358,,292,,,,,294,,294,,294,,294
2019-05-29,,294,,,,,,152,,24,,16,,19,294,,294,,294,,292,,358,
2019-05-30,25,,358,,,,,,,,,,,,,,,,,,,,,
2019-05-31,,,358,,358,,358,,358,,358,,294,,17,,19,,19,,24,,2,
2019-06-01,2,,,,,,,,,,,,,,,,,,,,,1,,0
2019-06-02,,17,294,,294,,292,,293,,297,,292,,17,,17,,17,,17,,17,
2019-06-03,24,,,,,,,,,,,,,,,,,,0,,16,,144,
2019-06-04,19,,,,,,,,,,,,,,,,,,,,,,,
2019-06-05,,,,37,,294,,294,,358,,294,,294,19,,6,,70,,326,,2,
2019-06-06,262,,,,,,,,,,,,,,,,,,,,,,,
2019-06-07,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-08,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-09,,,358,,358,,294,,292,,358,,292,,146,,6,,6,,6,,130,
2019-06-10,147,,,,,,,,,,,,,,,0,,9,,209,,25,,0
2019-06-11,,6,294,,6,,294,,6,,9,,4,,,,,,6,,6,,6,
2019-06-12,0,,,294,,358,,294,,294,,294,,294,6,,6,,6,,6,,6,
2019-06-13,2,,358,,294,,6,,19,,185,,144,2,,2,,2,,17,,17,,24
2019-06-14,,16,,6,,294,,24,,6,,0,,144,6,,6,,6,,6,,6,
2019-06-15,6,,6,,,,,,,,,,,,,,,,,,,,,
2019-06-16,,,358,,294,,294,,294,,294,,294,,6,,70,,2,,6,,6,
2019-06-17,2,,,,,,,,,,,,,,,,,,,,,,,6
2019-06-18,,6,294,,358,,294,,294,,294,,358,,326,,6,,326,,326,,6,
2019-06-19,6,,,,,,,,,,,,,,294,,294,,294,,36,,6,
