,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2019-06-04,56,,4,,358,,294,,358,,1,,294,,128,,144,,0,,40,,48,
2019-06-05,130,,400,6,,358,,38,,294,,294,,294,6,,358,,6,,6,,6,
2019-06-06,6,,292,,358,,294,,294,,294,,358,,,,,,,,,,,
2019-06-07,,0,,358,,294,,294,,294,,294,,294,6,,6,,70,,70,,6,
2019-06-08,146,,49,,,,,,,,,,,,,,,,,,,,,
2019-06-09,,,294,,358,,294,,358,,293,,358,,6,,0,,6,,6,,18,
2019-06-10,4,,,,,,,,,,,,,,,4,,1,,147,,9,,147
2019-06-11,,146,294,,6,,1,,36,,260,,4,,2,,6,,6,,6,,6,
2019-06-12,2,,,294,,358,,358,,294,,294,,294,6,,6,,0,,2,,24,
2019-06-13,152,,294,,292,,294,,294,,53,,54,0,,16,,16,,2,,1,,0
2019-06-14,,152,,1,,6,,22,,152,,152,,293,6,,326,,358,,152,,152,
2019-06-15,19,,294,,,,,,,,,,,,,,,,,,,,,
2019-06-16,,,294,,294,,358,,358,,294,,294,,4,,38,,326,,454,,326,
2019-06-17,70,,,,,,,,,,,,,,,6,,6,,6,,6,,18
2019-06-18,,17,294,,293,,292,,358,,439,,292,,6,,326,,6,,6,,147,
2019-06-19,2,,,,,,,,,,,178,,,294,,6,,18,,130,,17,
2019-06-20,147,,358,,358,,294,,358,,294,,443,,294,,294,,6,,6,,2,
2019-06-21,6,,0,294,,294,,294,,294,,294,,356,358,,358,,19,,18,,6,
2019-06-22,1,,358,,292,,294,,294,,294,,294,,,,,6,,146,,4,,6
2019-06-23,,1,,262,,294,,294,,6,,294,,294,262,,70,,6,,6,,326,
2019-06-24,326,,294,,,,,,,,,,,,,,,,,,,,,
2019-06-25,,,358,,358,,358,,358,,294,,317,,6,,1,,6,,2,,153,
2019-06-26,2,,,,,,,,,,,,,,,144,,147,,152,,144,,24
2019-06-27,,16,144,,19,,146,,38,,57,,310,,0,,0,,6,,2,,2,
2019-06-28,18,,,432,,176,,144,,153,,155,,,2,,2,,2,,18,,153,
2019-06-29,18,,17,,292,,6,,147,,19,,292,6,,6,,2,,6,,1,,16
2019-06-30,,8,,294,,358,,294,,358,,358,,294,358,,326,,326,,70,,198,
2019-07-01,70,,294,,,,,,,,,,,,,,,,,,,,,
2019-07-02,,,1,,16,,144,,16,,144,,57,,17,,2,,152,,24,,144,
2019-07-03,24,,,,,,,,,,,,,,,6,,19,,24,,152,,144
2019-07-04,,18,24,,358,,38,,38,,38,,147,,6,,18,,128,,24,,144,
2019-07-05,136,,,,,,,,,,,22,,,6,,0,,2,,147,,147,
2019-07-06,9,,146,,18,,17,,16,,144,,154,,128,,24,,144,,128,,146,
2019-07-07,138,,,0,,1,,0,,292,,68,,9,128,,16,,128,,128,,144,
2019-07-08,152,,2,,6,,1,,4,,4,,6,,,,,,,,,17,,1
2019-07-09,,24,,0,,358,,294,,1,,294,,2,6,,6,,6,,2,,2,
2019-07-10,147,,49,,,,,,,,,,,,,,,,,,,,,
2019-07-11,,,4,,6,,4,,38,,294,,292,,2,,144,,176,,152,,17,
2019-07-12,144,,,,,,,,,,,,,,,16,,144,,24,,144,,0
2019-07-13,,146,294,,294,,36,,358,,294,,260,,17,,2,,1,,0,,16,
2019-07-14,17,,,6,,6,,6,,6,,6,,,0,,1,,1,,6,,2,
2019-07-15,6,,36,,294,,292,,358,,294,,294,,,,,0,,0,,1,,0
2019-07-16,,6,,24,,17,,146,,144,,16,,1,1,,152,,19,,2,,16,
2019-07-17,18,,2,,,,,,,,,,,,,,,,,,,,,
2019-07-18,,,144,,152,,128,,24,,16,,18,,1,,24,,24,,17,,24,
2019-07-19,1,,,,,,,,,,,,,,,1,,2,,16,,24,,152
2019-07-20,,144,262,,38,,294,,38,,17,,292,,6,,6,,2,,19,,17,
2019-07-21,17,,,,,,,,,,,,,,6,,6,,17,,0,,17,
2019-07-22,24,,2,,17,,1,,16,,153,,17,,19,,16,,24,,24,,16,
2019-07-23,16,,,4,,0,,0,,1,,0,,0,16,,152,,144,,16,,24,
2019-07-24,144,,1,,38,,24,,1,,1,,1,,,,,,,,,,,17
2019-07-25,,1,,152,,6,,6,,6,,294,,294,6,,0,,2,,6,,6,
2019-07-26,194,,,,,,,,,,,,,,,,,,,,,,,
2019-07-27,,,19,,18,,154,,128,,128,,144,,2,,2,,6,,19,,9,
2019-07-28,17,,,,,,,,,,,,,,,16,,24,,0,,24,,24
2019-07-29,,24,294,,56,,2,,16,,48,,144,,24,,24,,146,,130,,24,
2019-07-30,24,,,18,,17,,24,,17,,6,,,1,,16,,24,,16,,144,
2019-07-31,144,,19,,18,,2,,6,,25,,6,17,,1,,16,,16,,128,,128
2019-08-01,,128,,128,,128,,128,,128,,19,,152,17,,0,,24,,144,,144,
2019-08-02,144,,6,,,,,,,,,,,,,,,,,,,,,
2019-08-03,,,16,,24,,24,,144,,24,,18,,24,,19,,152,,16,,144,
2019-08-04,152,,,,,,,,,,,,,,,16,,16,,16,,16,,24
2019-08-05,,144,19,,144,,146,,17,,19,,152,,24,,144,,144,,16,,2,
2019-08-06,24,,,,,,,,,,,,,,16,,24,,152,,128,,128,
2019-08-07,128,,1,,17,,24,,1,,1,,24,,16,,16,,17,,24,,128,
2019-08-08,144,,,25,,144,,176,,144,,19,,16,24,,19,,128,,17,,128,
2019-08-09,176,,24,,19,,24,,24,,154,,146,,,,,,,17,,19,,24
2019-08-10,,24,,24,,48,,144,,176,,432,,136,17,,17,,147,,17,,17,
2019-08-11,24,,1,,,,,,,,,,,,,,,,,,,,,
2019-08-12,,,294,,294,,294,,294,,294,,358,,2,,2,,2,,24,,17,
2019-08-13,25,,,,,,,,,,,,,,,144,,17,,24,,17,,17
2019-08-14,,24,6,,6,,292,,38,,293,,293,,2,,16,,144,,24,,16,
2019-08-15,146,,,1,,9,,1,,9,,2,,,1,,17,,144,,146,,144,
2019-08-16,176,,38,,4,,2,,24,,294,,9,16,,24,,16,,144,,144,,24
2019-08-17,,16,,6,,6,,147,,17,,150,,147,24,,16,,24,,24,,24,
2019-08-18,152,,0,,,,,,,,,,,,,,,,,,,,,
2019-08-19,,,146,,152,,152,,144,,144,,147,,16,,1,,16,,24,,24,
2019-08-20,17,,,,,,,,,,,,,,,1,,0,,24,,152,,144
2019-08-21,,152,24,,16,,24,,1,,262,,9,,24,,0,,144,,152,,144,
2019-08-22,24,,,,,,,,,,,,,,24,,24,,2,,17,,144,
2019-08-23,24,,154,,154,,144,,146,,146,,146,,24,,16,,16,,16,,128,
2019-08-24,24,,,144,,146,,24,,24,,24,,25,2,,128,,24,,297,,1,
2019-08-25,16,,6,,294,,6,,0,,38,,6,,,,,,,1,,1,,1
2019-08-26,,1,,358,,262,,358,,294,,358,,294,0,,6,,1,,17,,18,
2019-08-27,147,,6,,,,,,,,,,,,,,,,,,,,,
2019-08-28,,,176,,144,,18,,24,,138,,6,,2,,2,,24,,17,,16,
2019-08-29,16,,,,,,,,,,,,,,,24,,0,,144,,24,,144
2019-08-30,,144,176,,147,,25,,1,,4,,1,,18,,17,,16,,24,,24,
2019-08-31,16,,,2,,17,,6,,6,,152,,,1,,1,,24,,24,,24,
2019-09-01,25,,294,,358,,36,,358,,260,,294,1,,0,,0,,1,,24,,1
2019-09-02,,1,,2,,2,,6,,294,,294,,6,17,,6,,24,,24,,24,
2019-09-03,17,,38,,,,,,,,,,,,,,,,,,,,,
2019-09-04,,,294,,294,,0,,6,,294,,294,,6,,1,,2,,16,,2,
2019-09-05,1,,,,,,,,,,,,,,,16,,24,,,,1,,16
2019-09-06,,24,6,,6,,19,,16,,24,,17,,147,,1,,144,,154,,16,
2019-09-07,24,,,,,,,,,,,,,,24,,0,,24,,144,,144,
2019-09-08,16,,6,,6,,17,,304,,9,,9,,24,,24,,24,,24,,25,
2019-09-09,17,,,152,,25,,144,,144,,24,,144,24,,16,,144,,18,,154,
2019-09-10,144,,6,,6,,0,,0,,293,,1,,,,,,,24,,128,,138
2019-09-11,,16,,4,,6,,6,,1,,0,,1,24,,17,,24,,144,,24,
2019-09-12,24,,16,,,,,,,,,,,,,,,,,,,,,
2019-09-13,,,294,,294,,6,,292,,6,,297,,0,,147,,146,,144,,146,
2019-09-14,144,,,,,,,,,,,,,,,1,,48,,24,,144,,24
2019-09-15,,24,144,,16,,147,,155,,153,,24,,16,,144,,16,,24,,144,
2019-09-16,17,,,146,,146,,144,,154,,152,,,,,,,,,,,,
2019-09-17,,,24,,6,,22,,152,,24,,17,24,,24,,16,,24,,24,,24
2019-09-18,,16,,326,,6,,6,,294,,294,,6,24,,24,,19,,16,,152,
2019-09-19,17,,146,,,,,,,,,,,,,,,,,,,,,
2019-09-20,,,2,,6,,24,,2,,48,,24,,6,,6,,155,,19,,6,
2019-09-21,128,,,,,,,,,,,,,,,152,,144,,57,,24,,152
2019-09-22,,144,17,,24,,2,,0,,25,,152,,24,,24,,19,,1,,293,
2019-09-23,24,,,,,,,,,,,,,,24,,17,,0,,17,,16,
2019-09-24,24,,1,,36,,6,,1,,8,,9,,17,,24,,24,,147,,152,
2019-09-25,144,,,24,,176,,6,,152,,294,,6,24,,1,,24,,6,,24,
2019-09-26,17,,294,,294,,294,,38,,16,,326,,,,,,,1,,1,,24
2019-09-27,,2,,358,,358,,326,,358,,262,,36,6,,6,,6,,6,,2,
2019-09-28,25,,,,,,,,,,,,,,,,,,,,,,,
2019-09-29,,,294,,358,,358,,358,,292,,326,,6,,2,,1,,152,,19,
2019-09-30,19,,,,,,,,,,,,,,,0,,24,,128,,128,,16
2019-10-01,,144,0,,65,,0,,144,,154,,1,,17,,24,,1,,24,,293,
2019-10-02,176,,,9,,1,,25,,25,,17,,,16,,24,,16,,24,,24,
2019-10-03,24,,24,,9,,9,,1,,1,,8,16,,16,,16,,144,,24,,16
2019-10-04,,1,,16,,24,,144,,19,,4,,0,24,,24,,24,,24,,24,
2019-10-05,16,,176,,,,,,,,,,,,,,,,,,,,,
2019-10-06,,,294,,358,,358,,358,,326,,358,,6,,6,,6,,18,,19,
2019-10-07,154,,,,,,,,,,,,,,,1,,0,,2,,1,,17
2019-10-08,,6,6,,0,,1,,6,,358,,358,,146,,1,,2,,2,,147,
2019-10-09,24,,,,,,,,,,,,,,6,,6,,1,,17,,17,
2019-10-10,24,,358,,358,,294,,358,,292,,292,,6,,6,,6,,6,,6,
2019-10-11,4,,,294,,358,,294,,294,,294,,292,262,,358,,292,,294,,37,
2019-10-12,294,,358,,358,,292,,292,,358,,358,,,,,,,,,,,
2019-10-13,,0,,292,,358,,358,,358,,358,,358,6,,6,,147,,22,,154,
2019-10-14,128,,24,,,,,,,,,,,,,,,,,,,,,
2019-10-15,,,0,,0,,0,,292,,292,,292,,6,,6,,144,,152,,144,
2019-10-16,144,,,,,,,,,,,,,,,294,,294,,294,,294,,6
2019-10-17,,4,310,,358,,358,,358,,294,,358,,6,,6,,6,,6,,6,
2019-10-18,6,,,294,,358,,358,,294,,294,,,17,,6,,24,,1,,25,
2019-10-19,0,,294,,358,,294,,292,,358,,292,294,,6,,4,,4,,6,,0
2019-10-20,,6,,358,,358,,294,,309,,294,,293,292,,294,,358,,37,,294,
2019-10-21,358,,294,,,,,,,,,,,,,,,,,,,,,
2019-10-22,,,358,,358,,358,,294,,294,,294,,358,,358,,358,,294,,358,
2019-10-23,358,,,,,,,,,,,,,,,,,,,294,,,,294
2019-10-24,,358,358,,358,,292,,294,,356,,358,,6,,358,,36,,294,,292,
2019-10-25,4,,,,,,,,,,,,,,294,,294,,294,,36,,36,
2019-10-26,294,,358,,294,,358,,294,,358,,292,,294,,294,,294,,358,,294,
2019-10-27,294,,,294,,358,,358,,294,,292,,292,358,,294,,294,,292,,294,
2019-10-28,293,,294,,358,,358,,294,,294,,358,,,,,6,,38,,292,,4
2019-10-29,,38,,358,,358,,293,,176,,294,,358,294,,294,,358,,293,,358,
2019-10-30,36,,294,,,,,,,,,,,,,,,,,,,,,16
2019-10-31,,17,293,,356,,358,,358,,294,,292,,358,,294,,294,,294,,358,
2019-11-01,294,,,,,,,,,,,,,,,294,,358,,294,,294,,358
2019-11-02,,358,292,,294,,358,,294,,358,,294,,36,,294,,6,,36,,326,
2019-11-03,262,,,294,,358,,294,,294,,4,,,146,,18,,18,,144,,146,
2019-11-04,144,,4,,6,,146,,70,,294,,184,6,,6,,36,,17,,17,,144
2019-11-05,,144,,,,,,358,,358,,358,,358,0,,1,,6,,17,,6,
2019-11-06,6,,19,,,,,,,,,,,,,,,,,,,,,
2019-11-07,,,9,,176,,144,,24,,176,,16,,152,,144,,144,,153,,153,
2019-11-08,152,,,,,,,,,,,,,,,,,,,144,,25,,
2019-11-09,,25,68,,356,,260,,294,,0,,358,,152,,18,,2,,25,,2,
2019-11-10,24,,,,,,,,,,,,,,144,,152,,146,,128,,24,
2019-11-11,128,,144,,152,,144,,144,,16,,154,,144,,152,,9,,1,,155,
2019-11-12,25,,,292,,4,,324,,4,,4,,356,144,,144,,176,,144,,144,
2019-11-13,144,,,,,,358,,294,,294,,25,,,,,,,,,,,
2019-11-14,,,,358,,294,,358,,358,,358,,358,36,,292,,294,,358,,358,
2019-11-15,358,,,,,,,,,,,,,,,,,,,,,,,
2019-11-16,,,152,,147,,154,,146,,294,,439,,144,,144,,130,,48,,6,
2019-11-17,6,,,,,,,,,,,,,,,152,,154,,146,,138,,154
2019-11-18,,144,358,,358,,294,,358,,294,,358,,,,,,294,,294,,294,
2019-11-19,294,,,24,,16,,294,,294,,154,,,144,,144,,160,,144,,128,
2019-11-20,128,,1,,4,,16,,147,,152,,57,4,,6,,6,,6,,1,,0
2019-11-21,,1,,294,,294,,358,,22,,358,,292,17,,2,,22,,6,,294,
2019-11-22,55,,4,,,,,,,,,,,,,,,,,,,,,
2019-11-23,,,294,,292,,294,,358,,358,,358,,38,,294,,294,,294,,358,
2019-11-24,294,,,,,,,,,,,,,,,144,,19,,326,,326,,294
2019-11-25,,6,6,,146,,294,,144,,152,,138,,144,,17,,144,,152,,16,
2019-11-26,130,,,,,,,,,0,,294,,,38,,292,,294,,38,,294,
2019-11-27,144,,147,,147,,152,,147,,292,,187,,144,,16,,152,,48,,153,
2019-11-28,16,,,25,,144,,128,,1,,57,,24,24,,147,,16,,128,,25,
2019-11-29,128,,294,,2,,6,,154,,144,,144,,,,,138,,49,,6,,152
2019-11-30,,128,,4,,4,,294,,356,,294,,293,6,,294,,294,,260,,292,
2019-12-01,292,,,,,,,,,,,,,,,,,,,,,,,
2019-12-02,,,292,,358,,294,,358,,292,,294,,294,,294,,294,,294,,292,
2019-12-03,294,,,,,,,,,,,,,,,,,,,294,,294,,294
